Rank,Region,Country,Latitude,Longitude,Score,Economy GDP,Social Support,Life Expectancy,Freedom,Generosity,Trust In Government
132,Africa,Chad,15.454166,18.732207,4.35,0.35,0.766,0.192,0.174,0.198,0.078
133,Europe,Ukraine,48.379433,31.16558,4.332,0.82,1.39,0.739,0.178,0.187,0.01
134,Africa,Ethiopia,9.145,40.489673,4.286,0.336,1.033,0.532,0.344,0.209,0.1
135,Africa,Swaziland,-26.522503,31.465866,4.212,0.811,1.149,0,0.313,0.074,0.135
136,Africa,Uganda,1.373333,32.290275,4.189,0.332,1.069,0.443,0.356,0.252,0.06
137,Middle East,Egypt,26.820553,30.802498,4.166,0.913,1.039,0.644,0.241,0.076,0.067
138,Africa,Zambia,-13.133897,27.849332,4.107,0.578,1.058,0.426,0.431,0.247,0.087
139,Africa,Togo,8.619543,0.824782,4.085,0.275,0.572,0.41,0.293,0.177,0.085
140,Asia & Pacific,India,20.593684,78.96288,4.015,0.755,0.765,0.588,0.498,0.2,0.085
141,Africa,Liberia,6.428055,-9.429499,3.975,0.073,0.922,0.443,0.37,0.233,0.033
142,Arab States,Comoros,-11.875001,43.872219,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,Africa,Madagascar,-18.766947,46.869107,3.933,0.274,0.916,0.555,0.148,0.169,0.041
144,Africa,Lesotho,-29.609988,28.233608,3.802,0.489,1.169,0.168,0.359,0.107,0.093
145,Africa,Burundi,-3.373056,29.918886,3.775,0.046,0.447,0.38,0.22,0.176,0.18
146,Africa,Zimbabwe,-19.015438,29.154857,3.663,0.366,1.114,0.433,0.361,0.151,0.089
147,South/Latin America,Haiti,18.971187,-72.285215,3.597,0.323,0.688,0.449,0.026,0.419,0.11
148,Africa,Botswana,-22.328474,24.684866,3.488,1.041,1.145,0.538,0.455,0.025,0.1
149,Middle East,Syria,34.802075,38.996815,3.462,0.619,0.378,0.44,0.013,0.331,0.141
150,Africa,Malawi,-13.254308,34.301525,3.41,0.191,0.56,0.495,0.443,0.218,0.089
151,Middle East,Yemen,15.552727,48.516388,3.38,0.287,1.163,0.463,0.143,0.108,0.077
152,Africa,Rwanda,-1.940278,29.873888,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,Africa,Tanzania,-6.369028,34.888822,3.231,0.476,0.885,0.499,0.417,0.276,0.147
154,Asia & Pacific,Afghanistan,33.93911,67.709953,3.203,0.35,0.517,0.361,0,0.158,0.025
155,Africa,Central African Rep.,6.611111,20.939444,3.083,0.026,0,0.105,0.225,0.235,0.035
156,Africa,S. Sudan,12.862807,30.217636,2.853,0.306,0.575,0.295,0.01,0.202,0.091
157,NULL,Greenland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,NULL,Antarctica,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,NULL,Papua New Guinea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,NULL,Fr. S. Antarctic Lands,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,NULL,Falkland Is.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,NULL,Guyana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,NULL,Suriname,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,NULL,Dominican,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,NULL,Bosnia and Herz.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,NULL,Czechia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,NULL,Cuba,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,NULL,North Korea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,NULL,Timor-Leste,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,NULL,Brunei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,NULL,Oman,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,NULL,Somaliland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,NULL,Sudan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,NULL,Angola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,NULL,Guinea-Bissau,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,NULL,W. Sahara,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,NULL,Eq.Guinea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
